MNP Estadística de Nacimientos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nacimientos (Cifras anuales),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Por lugar de inscripción y sexo. Total nacional y comunidades autónomas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidades: Nacimientos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 Cataluña,66929,69068,70599,71726,71779,77577,81378,84492,85357,89412,84173,82484,79882,77176,73486,68841,65338,64064,59867,57025,57074,55045,54239,54862,56037,57618,56903,57222,57702,58631,58832,61158,65310,63800,62530,67129,68555,79851,87736,97092,103084,104961,110223,112579,107469,105220,102604,98947,95278,94358,95415,92151,89488,87940,80419,76454,71728,70670,70491,69072,66660,61154,58490,56503,53921,53236,49745,49923,50989,52408,48437,47481,47192,45067,42726,37107,39135,34533,35478,36486,37171,36981,39963,41837,43819,44344,46199,43368,42644,41419,39667,38030,35522,33580,32955,30731,29613,29415,28602,28046,28163,28916,29625,29390,29665,29943,30317,30579,31434,33680,33583,32236,34921,35997,41282,45384,50201,52881,54321,57186,57812,55018,54911,52829,51133,49091,48539,49304,47591,46063,45520,41419,39570,36719,36483,36102,35302,34108,31509,30256,29091,27774,27433,25465,25494,26214,26740,25006,24409,24266,23161,22133,19323,20142,32396,33590,34113,34555,34798,37614,39541,40673,41013,43213,40805,39840,38463,37509,35456,33319,31758,31109,29136,27412,27659,26443,26193,26699,27121,27993,27513,27557,27759,28314,28253,29724,31630,30217,30294,32208,32558,38569,42352,46891,50203,50640,53037,54767,52451,50309,49775,47814,46187,45819,46111,44560,43425,42420,39000,36884,35009,34187,34389,33770,32552,29645,28234,27412,26147,25803,24280,24429,24775,25668,23431,23072,22926,21906,20593,17784,18993
10 Comunitat Valenciana,40434,42090,43532,44415,44248,47632,49508,51740,52434,57103,54520,52800,50663,48990,47347,44210,42301,40786,38792,36909,36795,36589,36726,37043,38704,39678,39630,40255,40136,41232,41359,42779,44229,46247,47593,51620,54540,58078,61564,64525,66099,66921,64947,65824,62984,61218,61111,59395,58429,58486,59186,57559,55961,56533,52881,50709,49295,48891,49141,47341,46473,43004,42870,41031,40021,41622,40010,39532,40687,43475,40054,40082,41067,40613,41051,36561,36602,20911,21670,22468,22936,22901,24416,25627,26829,27184,29556,28138,27251,26115,25387,24271,22902,21867,21003,19781,19077,19022,18994,18900,19122,20097,20490,20422,20718,20684,21468,21682,22258,23016,24211,24803,26883,28419,29960,31828,33505,34258,34565,33683,33605,32456,31434,31559,30681,29817,30030,30372,29819,28849,28987,27451,26080,25349,25106,25334,24470,23959,21957,22023,20938,20584,21559,20499,20302,20769,22537,20580,20705,21228,20841,21387,18773,19051,19523,20420,21064,21479,21347,23216,23881,24911,25250,27547,26382,25549,24548,23603,23076,21308,20434,19783,19011,17832,17773,17595,17826,17921,18607,19188,19208,19537,19452,19764,19677,20521,21213,22036,22790,24737,26121,28118,29736,31020,31841,32356,31264,32219,30528,29784,29552,28714,28612,28456,28814,27740,27112,27546,25430,24629,23946,23785,23807,22871,22514,21047,20847,20093,19437,20063,19511,19230,19918,20938,19474,19377,19839,19772,19664,17788,17551
11 Extremadura,8527,8775,8954,9183,8896,9444,9994,10192,10401,10824,10172,10272,10010,9897,9939,9746,9867,10072,10017,9993,10270,10514,10795,11258,11698,12259,12364,12408,12963,13509,13883,13903,13863,14084,14663,15269,15030,15702,15655,15984,15811,16431,16273,17028,17897,18574,19232,20115,21811,22451,23079,24406,25795,28955,29556,30784,31228,32646,32771,33119,31997,31167,31754,31503,32906,33098,32508,30274,33826,37031,33164,30514,35233,35675,36934,30303,26911,4370,4539,4653,4651,4507,4855,5275,5236,5399,5635,5284,5226,5143,5081,5097,5018,5071,5172,5120,5119,5363,5359,5576,5836,5975,6273,6388,6432,6698,7006,7235,7261,7296,7343,7713,7999,7817,8082,8119,8255,8107,8472,8435,8715,9320,9635,9888,10326,11389,11595,11778,12514,13327,15026,15310,15944,16093,17007,16860,16966,16455,15957,16199,16099,17112,17022,16669,15722,17381,18935,17085,15799,18219,18523,18933,15701,13857,4157,4236,4301,4532,4389,4589,4719,4956,5002,5189,4888,5046,4867,4816,4842,4728,4796,4900,4897,4874,4907,5155,5219,5422,5723,5986,5976,5976,6265,6503,6648,6642,6567,6741,6950,7270,7213,7620,7536,7729,7704,7959,7838,8313,8577,8939,9344,9789,10422,10856,11301,11892,12468,13929,14246,14840,15135,15639,15911,16153,15542,15210,15555,15404,15794,16076,15839,14552,16445,18096,16079,14715,17014,17152,18001,14602,13054
12 Galicia,18485,19148,19532,19743,19813,21190,21670,22152,22635,23271,21833,21469,21164,20692,20463,19397,19416,19484,18841,18564,18740,18633,18828,19714,21313,21636,21938,22500,23591,24569,25845,26179,28398,30498,32072,34248,36333,39202,41211,43927,43994,45008,44032,44349,42810,43317,42788,43103,44278,45302,44703,44679,44596,45587,45642,46237,47838,48733,48345,48982,49535,49163,48841,49016,50650,51540,49434,53408,57364,60310,55670,60007,61330,60100,59839,52734,52774,9489,9811,10098,10316,10115,11037,11295,11544,11641,12032,11241,11105,10883,10683,10554,10025,9993,10104,9716,9639,9673,9545,9712,10124,10985,11158,11328,11551,12151,12674,13370,13529,14663,15692,16445,17992,19223,20282,21055,22514,22767,22914,22431,22991,21995,22258,21962,21873,22384,23255,23027,22597,22642,23400,23241,23696,24620,25310,24904,24965,25353,24920,25226,25119,25915,26442,25378,27479,29313,30912,28462,30624,31489,30971,30554,27126,27091,8996,9337,9434,9427,9698,10153,10375,10608,10994,11239,10592,10364,10281,10009,9909,9372,9423,9380,9125,8925,9067,9088,9116,9590,10328,10478,10610,10949,11440,11895,12475,12650,13735,14806,15627,16256,17110,18920,20156,21413,21227,22094,21601,21358,20815,21059,20826,21230,21894,22047,21676,22082,21954,22187,22401,22541,23218,23423,23441,24017,24182,24243,23615,23897,24735,25098,24056,25929,28051,29398,27208,29383,29841,29129,29285,25608,25683
13  Comunidad deMadrid,61521,64352,65675,66352,66098,70189,72773,74504,76559,79507,75524,72764,70143,69727,67707,63691,60237,57040,52483,49425,49229,47927,47448,48132,49986,51214,50209,50919,51961,52433,54150,55496,58004,60554,61718,66642,70121,73485,79679,85123,89243,93893,91924,94526,89365,88430,87495,83442,81592,79226,78879,74670,73544,72005,65539,63407,60869,59807,56528,55057,52674,45888,41688,37469,36796,35059,33419,33479,34054,36991,33660,33073,34476,34276,33002,26876,27182,31608,33021,33767,34284,33952,36089,37385,38177,39603,40846,38822,37460,35772,36268,34893,32878,30980,29525,27198,25533,25406,24524,24541,25044,25802,26369,25827,26360,26818,26982,27927,28456,30101,31284,32009,34479,36480,37989,41194,44382,46221,48247,47725,48601,46238,45400,44931,43047,42263,40599,40482,38358,37927,36992,33861,32838,31330,30849,29085,28346,27117,23795,21572,19362,18999,18118,17471,17273,17604,19119,17450,17042,17914,17660,17183,13945,14061,29913,31331,31908,32068,32146,34100,35388,36327,36956,38661,36702,35304,34371,33459,32814,30813,29257,27515,25285,23892,23823,23403,22907,23088,24184,24845,24382,24559,25143,25451,26223,27040,27903,29270,29709,32163,33641,35496,38485,40741,43022,45646,44199,45925,43127,43030,42564,40395,39329,38627,38397,36312,35617,35013,31678,30569,29539,28958,27443,26711,25557,22093,20116,18107,17797,16941,15948,16206,16450,17872,16210,16031,16562,16616,15819,12931,13121
14  Región deMurcia,15132,15548,15977,16293,16093,16665,17400,17996,18540,19372,18617,18131,17370,16709,16470,15568,15044,14229,13148,12843,13037,12672,12563,12537,13365,13814,13924,14071,14251,14280,14371,14282,14821,15214,15730,16838,17011,18333,18956,19096,19277,19876,18617,20383,19726,19579,19645,19606,20018,20257,20527,20399,20609,21039,21319,20279,18921,19164,19280,19474,19698,17372,17602,16932,18057,18081,17902,17645,18053,20025,18237,18593,20123,18430,17161,16007,15714,7751,8029,8178,8483,8279,8671,9004,9293,9557,9941,9597,9411,9014,8676,8568,8047,7674,7312,6727,6596,6680,6564,6475,6504,6971,7167,7095,7221,7437,7467,7429,7437,7643,7803,8213,8622,8904,9609,9866,9839,10004,10275,9559,10379,10072,9808,9904,9842,10106,10159,10361,10255,10355,10530,10386,9781,9539,9578,9960,9730,9920,8642,8858,8464,9013,8932,9020,8793,9041,10117,9186,9341,10130,9159,8711,8022,8116,7381,7519,7799,7810,7814,7994,8396,8703,8983,9431,9020,8720,8356,8033,7902,7521,7370,6917,6421,6247,6357,6108,6088,6033,6394,6647,6829,6850,6814,6813,6942,6845,7178,7411,7517,8216,8107,8724,9090,9257,9273,9601,9058,10004,9654,9771,9741,9764,9912,10098,10166,10144,10254,10509,10933,10498,9382,9586,9320,9744,9778,8730,8744,8468,9044,9149,8882,8852,9012,9908,9051,9252,9993,9271,8450,7985,7598
15  Comunidad Foral deNavarra,5736,5905,6007,6188,6104,6752,6763,6822,6873,7064,6616,6593,6193,6342,6211,5839,5733,5307,5160,5000,4982,4866,4669,4704,4730,4580,4695,4752,4924,5018,4828,5200,5293,5653,5855,6284,6713,7002,7379,7841,8313,8686,8638,8480,8370,8509,8680,8508,8625,8493,8453,8324,8361,8523,8374,8026,8148,7923,7964,7853,8103,7863,7652,7536,7637,7932,7587,7770,8090,8422,7958,8008,8457,8029,8160,7553,7263,2934,3013,3076,3141,3114,3477,3537,3500,3524,3668,3432,3313,3115,3335,3162,2995,2937,2753,2696,2576,2566,2424,2392,2422,2481,2408,2466,2472,2536,2566,2518,2794,2727,2967,3038,3268,3354,3638,3861,4086,4319,4501,4408,4376,4259,4488,4417,4343,4460,4396,4293,4216,4318,4356,4393,4147,4167,4102,4134,4012,4100,3987,3895,3910,3935,4047,3898,4015,4207,4276,4112,4062,4242,4069,4091,3912,3687,2802,2892,2931,3047,2990,3275,3226,3322,3349,3396,3184,3280,3078,3007,3049,2844,2796,2554,2464,2424,2416,2442,2277,2282,2249,2172,2229,2280,2388,2452,2310,2406,2566,2686,2817,3016,3359,3364,3518,3755,3994,4185,4230,4104,4111,4021,4263,4165,4165,4097,4160,4108,4043,4167,3981,3879,3981,3821,3830,3841,4003,3876,3757,3626,3702,3885,3689,3755,3883,4146,3846,3946,4215,3960,4069,3641,3576
16 País Vasco,17288,18432,19071,19596,19333,20794,21389,21480,21206,21614,20876,20268,19944,19765,19490,18296,17828,17515,16965,16302,16493,16171,15476,15384,15950,16448,16467,16641,17291,18296,18877,20434,20906,22346,23944,25866,27344,28719,31455,35431,38506,40829,39418,40209,40336,40715,40284,38927,38723,38270,38976,38864,39020,38764,36502,34794,32979,32506,33038,31093,29801,26632,24384,22514,21780,21075,19960,20061,20662,21221,19928,20202,19984,19188,18184,15492,16166,8936,9429,9828,9984,9951,10866,10861,10954,11056,11145,10773,10441,10237,10197,10110,9317,9258,9061,8670,8480,8513,8239,7998,7876,8192,8545,8484,8532,8886,9305,9856,10772,10718,11594,12289,13411,14216,15010,16143,18280,20010,21093,20433,20601,20905,21164,20803,20086,19907,19721,20103,20090,19894,19889,18759,17896,16852,16669,16966,15936,15416,13787,12507,11614,10980,10808,10288,10129,10661,11009,10223,10473,10274,9816,9388,8015,8360,8352,9003,9243,9612,9382,9928,10528,10526,10150,10469,10103,9827,9707,9568,9380,8979,8570,8454,8295,7822,7980,7932,7478,7508,7758,7903,7983,8109,8405,8991,9021,9662,10188,10752,11655,12455,13128,13709,15312,17151,18496,19736,18985,19608,19431,19551,19481,18841,18816,18549,18873,18774,19126,18875,17743,16898,16127,15837,16072,15157,14385,12845,11877,10900,10800,10267,9672,9932,10001,10212,9705,9729,9710,9372,8796,7477,7806
17  LaRioja,2565,2652,2715,2818,2882,3180,3171,3333,3310,3475,3269,3035,3034,2919,2833,2538,2388,2303,2233,2169,2157,2028,1988,2129,2102,2116,2205,2315,2317,2416,2433,2411,2714,2733,2945,3090,3198,3539,3769,3971,3873,4377,3996,3915,3863,3881,3868,3807,3930,3956,3924,3920,4074,4349,4184,4274,4366,4395,4490,4349,4495,4394,4314,4305,4499,4457,4519,4657,4831,5050,4837,5003,5017,4914,5060,4504,4527,1367,1374,1459,1412,1457,1626,1627,1747,1700,1783,1694,1556,1541,1468,1426,1307,1245,1190,1159,1091,1071,1011,995,1049,1107,1073,1148,1149,1226,1223,1276,1242,1399,1448,1493,1616,1683,1830,1904,2080,1933,2234,2044,1985,2020,1981,1964,1950,2004,2019,1987,1977,2051,2221,2164,2240,2219,2324,2389,2210,2321,2280,2205,2231,2311,2328,2303,2404,2487,2626,2425,2583,2554,2518,2560,2375,2271,1198,1278,1256,1406,1425,1554,1544,1586,1610,1692,1575,1479,1493,1451,1407,1231,1143,1113,1074,1078,1086,1017,993,1080,995,1043,1057,1166,1091,1193,1157,1169,1315,1285,1452,1474,1515,1709,1865,1891,1940,2143,1952,1930,1843,1900,1904,1857,1926,1937,1937,1943,2023,2128,2020,2034,2147,2071,2101,2139,2174,2114,2109,2074,2188,2129,2216,2253,2344,2424,2412,2420,2463,2396,2500,2129,2256
18 Ceuta,1439,1479,1490,1580,1379,1552,1674,1663,1517,1505,1476,1409,1329,1282,1156,1060,998,1016,1050,969,995,942,978,967,1075,1012,997,943,1004,1072,1023,1000,1080,1000,1053,1076,1131,1189,1198,1252,1249,1281,1343,1267,1277,1341,1407,1331,1327,1341,1431,1468,1440,1634,1573,1507,1535,1626,1575,1423,1550,1275,1312,1202,1246,1268,1401,1347,1424,1466,1375,1350,,,,,,776,763,800,804,731,812,858,857,799,754,772,702,696,666,611,530,534,508,509,516,496,490,495,500,549,535,520,463,518,524,519,525,546,503,516,549,562,632,617,644,666,643,683,658,664,694,743,675,671,736,736,775,780,879,828,776,819,862,831,701,763,655,691,597,642,634,703,719,755,742,712,702,,,,,,663,716,690,776,648,740,816,806,718,751,704,707,633,616,545,530,464,508,541,453,499,452,483,467,526,477,477,480,486,548,504,475,534,497,537,527,569,557,581,608,583,638,660,609,613,647,664,656,656,605,695,693,660,755,745,731,716,764,744,722,787,620,621,605,604,634,698,628,669,724,663,648,,,,,
19 Melilla,1995,2039,2158,1988,1809,1808,1746,1620,1512,1501,1332,1367,1277,1189,1315,1213,1254,1231,1091,1074,1043,1036,1045,1070,1116,1129,989,1013,975,1032,920,955,967,927,927,943,867,893,807,844,862,862,755,1224,1088,1087,1255,1271,1127,1022,1207,1288,1370,1438,1475,1480,1523,1620,1679,1754,1917,1638,1632,1452,1480,1628,1556,1655,1559,1778,1888,1783,,,,,,1076,1064,1142,1072,953,961,945,819,818,775,711,711,645,630,689,637,636,674,570,560,541,560,540,551,593,613,518,519,484,527,501,501,525,493,510,535,450,467,421,436,466,467,381,640,571,516,662,653,585,509,602,637,718,734,764,737,782,847,901,850,988,847,860,749,802,843,817,830,804,932,940,884,,,,,,919,975,1016,916,856,847,801,801,694,726,621,656,632,559,626,576,618,557,521,514,502,476,505,519,523,516,471,494,491,505,419,454,442,434,417,408,417,426,386,408,396,395,374,584,517,571,593,618,542,513,605,651,652,704,711,743,741,773,778,904,929,791,772,703,678,785,739,825,755,846,948,899,,,,,
Notas:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: Instituto Nacional de Estadística,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
